Symbol,GICS_Sector,MarketCap
ABLV,Communication Services,52353292.0
ACCS,Communication Services,46249836.0
ADD,Communication Services,26598058.0
ADV,Communication Services,473495520.0
AENT,Communication Services,284740064.0
AGAE,Communication Services,69954776.0
AMC,Communication Services,1533329792.0
AMCX,Communication Services,276302912.0
AMX,Communication Services,52527529984.0
ANGH,Communication Services,32516304.0
ANGI,Communication Services,770191296.0
ANTE,Communication Services,31681490.0
APP,Communication Services,123328528384.0
AREN,Communication Services,249219632.0
ASST,Communication Services,71289440.0
ATEX,Communication Services,427014368.0
ATHM,Communication Services,3305772032.0
ATNI,Communication Services,267658240.0
ATUS,Communication Services,1304955520.0
BAOS,Communication Services,4296572.0
BATRA,Communication Services,2960124928.0
BATRK,Communication Services,2960125184.0
BBGI,Communication Services,7626285.0
BCE,Communication Services,21828816896.0
BHAT,Communication Services,13183953.0
BIDU,Communication Services,30133846016.0
BILI,Communication Services,10502529024.0
BLMZ,Communication Services,2810165.0
BMBL,Communication Services,1067437056.0
BODI,Communication Services,28090934.0
BREA,Communication Services,16272006.0
BZ,Communication Services,8629895168.0
BZFD,Communication Services,87837456.0
CABO,Communication Services,723337280.0
CARS,Communication Services,809351808.0
CCG,Communication Services,67749696.0
CCO,Communication Services,586123712.0
CCOI,Communication Services,2466864896.0
CDLX,Communication Services,88204032.0
CHR,Communication Services,18446112.0
CHT,Communication Services,33999370240.0
CHTR,Communication Services,52202823680.0
CMCM,Communication Services,163581424.0
CMCSA,Communication Services,128962002944.0
CNET,Communication Services,4574563.0
CNK,Communication Services,3475662592.0
CNVS,Communication Services,108294272.0
CPOP,Communication Services,56742512.0
CRTO,Communication Services,1224389376.0
CURI,Communication Services,266611872.0
CXDO,Communication Services,165473840.0
DALN,Communication Services,73409400.0
DDI,Communication Services,485127776.0
DGLY,Communication Services,3454840.0
DIS,Communication Services,218282803200.0
DJT,Communication Services,5173438464.0
DLPN,Communication Services,13181708.0
DOYU,Communication Services,242034784.0
DRCT,Communication Services,11132194.0
EA,Communication Services,37718441984.0
EB,Communication Services,225339392.0
EDHL,Communication Services,19861700.0
EDUC,Communication Services,11372740.0
EEX,Communication Services,994295040.0
EVC,Communication Services,213794304.0
EVER,Communication Services,895958080.0
FENG,Communication Services,27985164.0
FLNT,Communication Services,46241888.0
FNGR,Communication Services,96835688.0
FOX,Communication Services,24214405120.0
FOXA,Communication Services,24214444032.0
FTRK,Communication Services,13305625.0
FUBO,Communication Services,1144158976.0
FVRR,Communication Services,922507392.0
FWONA,Communication Services,25539762176.0
FWONK,Communication Services,25539706880.0
FYBR,Communication Services,9246626816.0
GAIA,Communication Services,102031008.0
GAME,Communication Services,68521600.0
GCI,Communication Services,518383424.0
GCL,Communication Services,447017024.0
GDC,Communication Services,56768452.0
GDEV,Communication Services,287905984.0
GENI,Communication Services,2693280000.0
GETY,Communication Services,711077248.0
GIBO,Communication Services,18670256.0
GIFT,Communication Services,30277986.0
GIGM,Communication Services,15775910.0
GITS,Communication Services,8115504.0
GMGI,Communication Services,230507600.0
GMHS,Communication Services,77139936.0
GOGO,Communication Services,2096384512.0
GOOG,Communication Services,2250469015552.0
GOOGL,Communication Services,2250459316224.0
GRPN,Communication Services,1291236096.0
GRVY,Communication Services,441533120.0
GSAT,Communication Services,3540526336.0
GTN,Communication Services,571622272.0
GXAI,Communication Services,8833078.0
HAO,Communication Services,4142137.0
HUYA,Communication Services,746523392.0
IAC,Communication Services,3254351616.0
IAS,Communication Services,1364682368.0
IDT,Communication Services,1420718208.0
IHRT,Communication Services,255268800.0
IHS,Communication Services,1976218624.0
IMAX,Communication Services,1527347584.0
IOTR,Communication Services,12819870.0
IPG,Communication Services,8940192768.0
